the	その
of	〜の
and	そして
to	〜へ
a	ある|1つの
in	〜の中に
be	〜である|いる
that	あれ|それ
for	〜のために
it	それ
not	〜でない
with	〜と一緒に
as	〜として|〜のように
on	〜の上に
have	持っている
you	あなた|あなたたち
he	彼
her	彼女|彼女の
by	〜によって|〜のそばに
at	〜で|〜に
can	〜できる
will	〜するつもりだ
from	〜から
do	する
or	または
this	これ|この
but	しかし
she	彼女
they	彼ら|彼女ら|それら
which	どちら|どれ|〜するところの
my	私の
their	彼らの|彼女らの|それらの
one	一つ|ある一人
all	すべての
we	私たち
him	彼を|彼に
me	私を|私に
out	外に|外へ
up	上に|起きて
time	時間
so	とても|だから
other	他の
see	見る|会う
about	〜について
who	誰|〜する人
know	知っている
them	彼らを|彼女らを|それらを
into	〜の中へ
when	いつ|〜するとき
what	何|〜すること
there	そこに|ある
if	もし〜なら
may	〜かもしれない
take	取る
your	あなたの|あなたたちの
no	いいえ|〜ない
like	〜のような|好き
well	上手に|元気な|ええと
go	行く
also	〜もまた
get	得る|〜になる
than	〜よりも
think	考える
come	来る
only	〜だけ|唯一の
little	少しの|小さい
work	働く|仕事
some	いくつかの
man	男
make	作る|〜させる
shall	〜しましょうか|〜すべきである
then	それから|そのとき
over	〜の上に|終わって
give	与える
way	方法|道
such	そのような
these	これら
our	私たちの
back	後ろ|戻る
use	使う
any	いくつかの|どれでも
even	〜さえ|平等な
just	ちょうど|単に
through	〜を通して
how	どのように
first	最初の
want	欲しい|〜したい
need	必要とする
hand	手
day	日|一日
between	〜の間に
say	言う
now	今
long	長い
where	どこ
down	下に
before	〜の前に
right	正しい|右
very	とても
us	私たちを|私たちに
because	なぜなら
good	良い
life	人生|生活
look	見る|見える
here	ここに|ここで
much	たくさんの|非常に
own	自分自身の|所有する
place	場所|置く
many	たくさんの
new	新しい
those	あれら
show	見せる|示す
become	〜になる
off	離れて|停止して
high	高い
still	まだ|静かな
change	変える|変化
same	同じ
both	両方の
must	〜しなければならない
too	〜もまた|あまりに〜すぎる
case	場合|事件|容器
head	頭|指導者
each	それぞれの
system	システム|制度
state	状態|州|述べる
part	部分|役割
et	そして（フランス語由来）
face	顔|直面する
great	素晴らしい|大きな
al	〜たち（ラテン語由来）
while	〜の間に|一方で
point	点|指摘する
around	周囲に|約
never	決して〜ない
doe	雌鹿
old	古い|年を取った
world	世界
help	助ける
far	遠い
form	形|形成する
again	再び
study	勉強する|研究
different	異なる
process	過程|処理する
under	下に
set	設定する|一式
without	〜なしで
end	終わり|終える
away	離れて
find	見つける
open	開ける|開いている
another	もう一つの|別の
something	何か
result	結果
love	愛|愛する
against	〜に反対して|〜に対して
provide	提供する
body	体|本体
understand	理解する
keep	保つ|〜し続ける
order	命令|注文|順序
few	少しの|ほとんど〜ない
mean	意味する|卑劣な
large	大きい
small	小さい
group	集団|グループ
power	力|電力
example	例
close	閉じる|近い
move	動く|動かす
family	家族
question	質問
name	名前
water	水
value	価値
live	生きる|住む
last	最後の|続く
side	側
every	すべての
level	水準|段階
room	部屋|余地
present	現在の|出席している|贈り物
always	いつも
social	社会の
increase	増える|増加
within	〜の中に|以内に
house	家
home	家|家庭
human	人間
let	〜させる
person	人
early	早い
during	〜の間に
country	国
low	低い
run	走る|運営する
upon	〜の上に
experience	経験
light	光|軽い
book	本
speak	話す
put	置く
play	遊ぶ|演奏する|劇
mind	心|気にする
important	重要な
model	模型|モデル|模範
problem	問題
often	しばしば
law	法律
though	〜だけれども
door	ドア
fact	事実
leave	去る|残す
himself	彼自身
information	情報
effect	効果|影響
support	支える|支持
tell	言う
cause	原因|引き起こす
control	制御する|管理
line	線|列
second	2番目の|秒
moment	瞬間
until	〜まで
since	〜以来|〜なので
year	年
young	若い
area	地域|分野
feel	感じる
include	含む
talk	話す
return	戻る|返す
heart	心臓|心
night	夜
approach	近づく|取り組み
fall	落ちる|秋
friend	友達
force	力|強制する
course	講座|進路|コース
next	次の
school	学校
call	呼ぶ|電話をかける
really	本当に
idea	アイデア|考え
already	すでに
plan	計画
believe	信じる
de	〜の〈フランス語〉|反対の（接頭辞）|取り除く（接頭辞）
reason	理由
report	報告|レポート
step	段階|踏む
care	気をつける|世話
once	一度|かつて
create	創造する
enough	十分な
turn	回る|順番
allow	許す
thing	物|こと
individual	個人|個々の
why	なぜ
public	公共の|公の
development	発展|開発
smile	笑う|笑顔
type	型|種類|タイプする
service	サービス|奉仕
together	一緒に
kind	種類|親切な
view	眺め|見方
read	読む
woman	女性
nothing	何も〜ない
voice	声
practice	練習する|実践
mother	母
sense	感覚|意味
ever	今までに|かつて
stop	止まる|やめる
research	研究
rather	むしろ|かなり
answer	答え|答える
able	できる
father	父
possible	可能な
yet	まだ|しかし
among	〜の間に
method	方法
lead	導く|鉛
government	政府
function	機能|働く
action	行動
business	ビジネス|事業
ask	尋ねる|頼む
political	政治の
anything	何でも|何も
hard	難しい|固い|熱心に
test	テスト|試験
activity	活動
across	〜を横切って
hold	持つ|開催する
note	メモ|注意する
rate	率|評価する
cell	細胞|小部屋|携帯電話
along	〜に沿って|一緒に
however	しかしながら|どんなに〜でも
sure	確信している|もちろん
break	壊す|休憩
story	物語|話
share	共有する|分け前
position	位置|立場|職
city	都市
company	会社|仲間
almost	ほとんど
self	自己
age	年齢|時代
land	土地|着陸する
relationship	関係|交際
girl	少女
sound	音|聞こえる
act	行動する|演じる
meet	会う
behind	後ろに
start	始める
analysis	分析
whether	〜かどうか
focus	焦点|集中する
whole	全体の
several	いくつかの
clear	明確な|片付ける
white	白い
design	設計する|デザイン
full	いっぱいの|完全な
community	共同体|地域社会
risk	危険|リスク
party	政党|パーティー|一団
death	死
policy	政策|方針
structure	構造|建造物
role	役割
above	〜の上に|上記の
pay	支払う|給料
space	空間|宇宙
hope	希望する
market	市場
front	前面|正面
material	材料|物質
child	子ども
watch	見る|腕時計
either	どちらか|〜もまた
general	一般の|将軍
language	言語
big	大きい
account	口座|説明|考慮
field	分野|畑
past	過去の|過ぎた
cost	費用|犠牲
free	自由な|無料の
class	授業|階級
real	本当の|現実の
half	半分
bring	持ってくる
subject	主題|科目|対象
short	短い|不足した
image	画像|印象
black	黒い
hear	聞く
bear	耐える|クマ
strong	強い
word	単語|言葉
drive	運転する|駆り立てる
common	共通の|一般的な
period	期間|時代|句読点
food	食べ物
history	歴史
measure	測る|手段
energy	エネルギー
rest	休息|残り
knowledge	知識
true	本当の
certain	確かな|ある〜
die	死ぬ
nature	自然|本質
money	お金
remain	残る|〜のままでいる
rise	上がる
air	空気|放送する
decision	決定
deep	深い
explain	説明する
table	テーブル|表
product	製品|成果
local	地元の
soon	すぐに
learn	学ぶ
particular	特定の|特に
health	健康
future	未来
themselves	彼ら自身
itself	それ自身
follow	従う|続く
